method,leaf,actual,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
new_noaid,34,52.48,67,46,62,28,61,50,64,48,70,25,49,23,55,53,57,62,30,28,43,25
new_noaid,35,53.08,50,38,44,43,53,45,67,60,60,29,35,17,43,45,72,42,44,20,37,25
new_noaid,36,54.7,52,49,69,44,59,60,53,48,80,50,60,21,52,55,60,63,17,30,67,15
new_noaid,37,54.82,45,74,61,30,48,55,60,78,90,70,31,31,30,55,82,82,41,30,66,40
new_noaid,38,55.54,85,67,85,40,80,85,70,75,90,80,80,70,85,87,94,83,79,48,98,80
new_noaid,39,58.15,79,75,87,61,84,80,63,55,75,66,75,61,73,70,65,82,33,24,93,50
new_noaid,40,59.32,62,71,60,71,75,80,62,68,80,75,35,41,69,68,78,75,67,33,78,75
new_noaid,41,62.74,96,87,92,85,90,90,78,90,95,81,90,53,83,83,91,88,94,39,85,75
new_noaid,42,62.75,55,51,77,65,58,55,56,78,90,45,45,45,57,51,77,70,53,31,67,45
new_noaid,43,66,89,81,82,66,58,88,80,80,75,74,50,39,70,79,84,80,36,35,89,80
new_noaid,44,66.15,95,78,89,72,85,85,73,72,95,85,92,63,89,70,90,85,62,38,93,80
new_noaid,45,70.35,89,70,89,77,87,75,82,82,95,79,88,25,87,68,76,80,25,29,78,55
new_noaid,46,71.26,85,82,86,68,82,85,83,75,95,89,80,66,83,84,87,80,44,27,84,60
new_noaid,47,78.35,95,83,86,64,52,65,85,90,90,85,60,37,90,67,95,85,84,44,97,70
new_noaid,48,78.4,85,70,92,95,89,80,79,70,97,60,66,68,89,62,83,68,90,38,87,70
new_noaid,49,80.21,90,91,85,90,89,90,85,90,93,85,70,90,90,95,98,90,89,45,97,84
new_noaid,50,84,98,88,91,95,93,90,87,88,98,90,96,96,95,86,89,90,52,47,96,90
new_aid,1,0.25,0.1,0.2,0.5,0.2,0.2,0.4,0.4,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.5,0.2
new_aid,2,2.5,1,4.4,3,2,2,4.5,8,4,5,0.3,1,0.7,1,3,2,4,2,3,4,1
new_aid,3,7.24,3,9,5,4,6,10,11,6,10,6,5,6,6,8,5,6,9,5,8,5
new_aid,4,7.31,9,10,12,4,7,8,4,12,8,6,2,2,9,5,6,5,12,5,7,5
new_aid,5,9.07,9,10,12,10,15,11,17,8,10,10,9,9,10,15,10,10,12,10,8,15
new_aid,6,11.6,15,12,12,10,12,12,13,15,15,7,8,10,13,12,8,15,7,15,10,10
new_aid,7,12.46,12,10,19,20,10,14,15,15,15,16,9,20,11,17,15,23,12,18,18,15
new_aid,8,13.1,15,15,13,18,20,13,18,18,15,17,9,7,15,24,21,26,9,20,15,25
new_aid,9,14.61,13,13,18,12,18,13,13,17,10,14,14,14,13,12,11,17,14,14,10,15
new_aid,10,16.06,8,15,13,11,18,19,9,20,15,20,17,12,12,15,18,15,11,15,12,13
new_aid,11,16.7,15,18,15,15,12,17,13,23,10,15,7,17,11,13,13,20,18,10,15,15
new_aid,12,19.5,14,20,18,20,18,20,18,25,20,21,15,29,17,23,23,36,14,24,20,10
new_aid,13,20.75,30,26,30,15,27,20,30,23,20,22,17,24,25,26,25,15,26,20,25,30
new_aid,14,23.56,20,28,29,20,24,28,19,26,25,16,9,28,24,26,26,17,27,29,15,15
new_aid,15,23.77,25,25,24,27,29,23,24,22,20,27,15,39,33,20,24,27,39,29,20,25
new_aid,16,24.45,19,25,26,20,21,30,22,24,25,29,16,26,20,30,21,25,28,30,23,30
new_aid,17,25.78,32,28,30,32,24,33,30,25,30,22,29,29,26,38,40,38,48,30,27,30
new_aid,18,26.03,25,29,26,30,23,35,32,25,20,24,15,34,29,29,18,29,20,27,13,25
new_aid,19,26.42,25,25,29,25,25,25,25,25,25,17,19,20,26,30,20,35,32,22,25,15
new_aid,20,28.89,28,34,34,30,32,30,28,25,35,24,25,43,28,31,36,48,21,37,27,30
new_aid,21,31.21,45,31,34,40,43,32,29,40,35,30,22,43,35,46,30,25,20,45,28,35
new_aid,22,33.05,35,37,33,30,38,32,30,38,30,27,30,38,37,31,25,30,21,35,23,25
new_aid,23,34.63,38,36,40,35,37,30,37,40,40,33,31,37,42,35,39,45,37,34,30,30
new_aid,24,36.15,30,32,37,37,36,42,31,30,30,38,37,42,38,30,42,48,28,39,38,45
new_aid,25,36.74,45,42,31,42,31,42,41,38,50,42,30,41,47,45,37,60,37,36,37,30
new_aid,26,38,38,39,42,35,37,31,37,40,40,43,35,42,38,43,34,42,27,52,40,40
new_aid,27,38.07,45,48,46,41,36,40,46,39,35,42,38,45,46,45,38,50,35,32,32,45
new_aid,28,40,40,40,40,40,40,40,40,40,40,35,39,28,40,40,40,45,42,47,33,40
new_aid,29,40.34,50,40,37,41,50,38,38,40,35,57,35,43,31,40,43,53,37,57,43,45
new_aid,30,44.01,38,40,48,45,44,50,47,40,35,50,42,43,45,50,54,45,46,53,40,40
new_aid,31,45.42,40,46,47,45,42,45,42,45,45,41,40,55,44,46,40,49,56,52,30,45
new_aid,32,45.47,40,50,42,50,45,45,40,40,45,48,42,48,33,43,49,35,45,40,50,50
new_aid,33,49.23,45,49,49,45,30,47,42,42,45,41,33,35,45,45,42,45,32,46,39,45
